ID,Name,Description
Domain,Domain of application,"inflectional or derivational morphology, compounding, or special onymic markers (= name markers) (Handschuh 2019: §3.1.1)"
Boundedness,Boundness of name gender markers,"bound marker, free form, or phonological pattern (Handschuh 2019: §3.1.2)"
Transparency,Transparency of name gender markers,"opaque, partly transparent, or fully transparent  (Handschuh 2019: §3.1.3)"
Symmetry,Symmetry of marking,"asymmetric or symmetric marking of sex-specific forms of given names (Handschuh 2019: §3.1.4)"
